"filename", "language", "HTML", "C++", "XML", "Swift", "JSON", "Markdown", "Dart", "YAML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 23, 4, 30
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 3, 13, 74
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\google-services.json", "JSON", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 1, 35
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_book\add_book_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 13, 75
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_book\add_book_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 32, 11, 198
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_setting\add_setting_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 13, 63
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_setting\add_setting_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 330, 0, 0, 0, 27, 17, 374
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\book_list\book_list_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 2, 22, 128
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\book_list\book_list_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 97, 13, 293
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\domain\book.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\domain\homepage.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\domain\setting.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_book\edit_book_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 2, 10, 65
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_book\edit_book_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 5, 7, 127
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_setting\edit_setting_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 2, 10, 48
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_setting\edit_setting_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 2, 5, 137
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\homepage\report_home_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 46, 31, 247
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\homepage\report_home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 382, 0, 0, 0, 41, 25, 448
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\login\login_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 12, 52
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\login\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 2, 3, 113
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\register\register_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 2, 12, 57
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\register\register_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 1, 3, 85
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\icon_select_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 1, 5, 240
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\setting_list_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 10, 16, 234
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\setting_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 10, 53
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 9, 31
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\web\index.html", "HTML", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 105
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\flutter_window.cpp", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\utils.cpp", "C++", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\win32_window.cpp", "C++", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 80, 405, 123, 12, 226, 13, 2591, 25, 8, 94, 456, 453, 4486