"filename", "language", "Dart", "YAML", "C++", "comment", "blank", "total"
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_setting\add_setting_page.dart", "Dart", -2, 0, 0, 0, 0, -2
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_book\edit_book_model.dart", "Dart", -1, 0, 0, 1, 0, 0
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_book\edit_book_page.dart", "Dart", 0, 0, 0, 0, 2, 2
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_setting\edit_setting_model.dart", "Dart", 23, 0, 0, 6, 4, 33
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_setting\edit_setting_page.dart", "Dart", 140, 0, 0, 8, 1, 149
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\homepage\report_home_model.dart", "Dart", 1, 0, 0, 0, -2, -1
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\homepage\report_home_page.dart", "Dart", -24, 0, 0, 31, -1, 6
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\login\login_model.dart", "Dart", 12, 0, 0, 0, 2, 14
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\login\login_page.dart", "Dart", 23, 0, 0, -1, 0, 22
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\icon_select_model.dart", "Dart", 54, 0, 0, 0, 12, 66
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\icon_select_page.dart", "Dart", 64, 0, 0, -1, 7, 70
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\setting_list_page.dart", "Dart", 13, 0, 0, 14, 2, 29
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\setting_model.dart", "Dart", 11, 0, 0, 0, 2, 13
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\pubspec.yaml", "YAML", 0, 1, 0, 0, 0, 1
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 3
"Total", "-", 314, 1, 3, 58, 29, 405